Linea,Stazione 1,Stazione 2,Colore
R22,5325,5326,#94C120
R22,5323,5325,#94C120
R22,5322,5323,#94C120
R22,5321,5322,#94C120
R22,5320,5321,#94C120
R22,5320,5319,#94C120
R22,5323,5324,#94C120
R22,5324,5325,#94C120
S11,2345,3098,#0058A2
S11,3098,1708,#0058A2
S11,3099,1708,#0058A2
S11,3099,1715,#0058A2
S11,1715,1711,#0058A2
S11,2716,1711,#0058A2
S11,1841,2716,#0058A2
S11,1841,1581,#0058A2
S11,1581,1230,#0058A2
S11,2696,1230,#0058A2
S11,2696,819,#0058A2
S11,819,899,#0058A2
S11,873,899,#0058A2
S11,1208,873,#0058A2
S11,1208,400,#0058A2
S11,400,1158,#0058A2
S11,1158,1087,#0058A2
S11,1728,1711,#0058A2
S13,5060,5061,#0058A2
S13,5059,5060,#0058A2
S13,5058,5059,#0058A2
S13,5057,5058,#0058A2
S13,5056,5057,#0058A2
S13,5056,1707,#0058A2
S13,1069,2046,#0058A2
S13,3092,1069,#0058A2
S13,3092,1749,#0058A2
S13,1749,1583,#0058A2
S13,1720,1583,#0058A2
S13,1720,1718,#0058A2
S13,3468,1718,#0058A2
S13,1723,3468,#0058A2
S13,1723,1719,#0058A2
S13,1714,1719,#0058A2
S13,1713,1714,#0058A2
S13,1713,1707,#0058A2
R28,5266,5276,#94C120
R28,5265,5266,#94C120
R28,5264,5265,#94C120
R28,5264,5263,#94C120
R28,5262,5263,#94C120
R28,5048,5262,#94C120
R28,5048,1707,#94C120
R28,1728,1715,#94C120
R28,1715,1707,#94C120
S9,5048,5064,#0058A2
S9,5064,5049,#0058A2
S9,5049,5073,#0058A2
S9,5073,5052,#0058A2
S9,2696,5052,#0058A2
S9,1712,1715,#0058A2
S9,1712,3169,#0058A2
S9,3169,1717,#0058A2
S9,58,1717,#0058A2
S9,1721,58,#0058A2
S9,1721,1187,#0058A2
S9,1187,780,#0058A2
S9,2923,780,#0058A2
S9,1386,2923,#0058A2
S9,1386,779,#0058A2
S9,1712,1711,#0058A2
S9,2716,1711,#0058A2
S9,1841,2716,#0058A2
S9,1841,1581,#0058A2
S9,1581,1230,#0058A2
S9,2696,1230,#0058A2
S9,5073,5379,#0058A2
S9,5050,5379,#0058A2
S9,5049,5050,#0058A2
S9,1715,1711,#0058A2
RE_8,1728,1841,#E40314
RE_8,1841,905,#E40314
RE_8,905,1066,#E40314
RE_8,1066,807,#E40314
RE_8,1550,807,#E40314
RE_8,1841,1550,#E40314
RE_8,905,807,#E40314
RE_8,2760,1846,#E40314
RE_8,1139,1846,#E40314
RE_8,1139,1228,#E40314
RE_8,618,1228,#E40314
RE_8,2993,618,#E40314
RE_8,1632,2993,#E40314
RE_8,1632,1550,#E40314
RE_8,2993,1550,#E40314
RE_8,618,1139,#E40314
RE_8,2760,2916,#E40314
RE_8,2850,2916,#E40314
RE_8,1841,807,#E40314
RE_8,1139,2151,#E40314
RE_8,1258,2151,#E40314
RE_8,1258,1228,#E40314
RE_8,2993,1329,#E40314
RE_8,1329,1575,#E40314
RE_8,1934,1575,#E40314
RE_8,1632,1934,#E40314
RE_8,1632,365,#E40314
RE_8,365,1550,#E40314
RE_8,1089,1919,#E40314
RE_8,3013,1919,#E40314
RE_8,3013,1263,#E40314
RE_8,1139,1263,#E40314
RE_8,905,1550,#E40314
RE_8,1841,2716,#E40314
RE_8,1715,2716,#E40314
RE_8,1632,618,#E40314
RE_8,2218,2916,#E40314
RE_8,2760,2218,#E40314
RE_8,1632,1575,#E40314
RE_8,2993,1575,#E40314
RE_8,1937,807,#E40314
RE_8,1937,1066,#E40314
RE_8,1728,2716,#E40314
S40,5266,5276,#0058A2
S40,5265,5266,#0058A2
S40,5264,5265,#0058A2
S40,5264,766,#0058A2
S40,1393,766,#0058A2
S40,1393,2994,#0058A2
S40,2994,1492,#0058A2
S40,451,1492,#0058A2
S40,85099,451,#0058A2
S40,85099,1087,#0058A2
S40,1158,1087,#0058A2
S40,400,1158,#0058A2
R6,892,2919,#94C120
R6,883,892,#94C120
R6,883,932,#94C120
R6,1201,932,#94C120
R6,1201,3372,#94C120
R6,3372,997,#94C120
R6,2763,997,#94C120
R6,2763,926,#94C120
R6,1940,926,#94C120
R6,1202,1940,#94C120
R6,1712,2919,#94C120
R6,1712,3099,#94C120
R6,3099,1715,#94C120
R6,1712,1708,#94C120
R6,1201,997,#94C120
R6,1201,2919,#94C120
R6,1712,1715,#94C120
R14,1715,1711,#94C120
R14,2716,1711,#94C120
R14,1841,2716,#94C120
R14,1841,453,#94C120
R14,905,453,#94C120
R14,905,1998,#94C120
R14,632,3183,#94C120
R14,2223,3183,#94C120
R14,2836,2223,#94C120
R14,811,2836,#94C120
R14,632,2223,#94C120
R11,1089,2275,#94C120
R11,2275,2477,#94C120
R11,2632,2477,#94C120
R11,2632,1919,#94C120
R11,3013,1919,#94C120
R11,3013,1263,#94C120
R11,1139,1263,#94C120
R11,1139,1919,#94C120
R11,1089,1919,#94C120
R38,1712,1708,#94C120
R38,1712,1720,#94C120
R38,1720,1584,#94C120
R38,1584,2686,#94C120
R38,937,2686,#94C120
R38,937,1134,#94C120
R38,1134,2111,#94C120
R38,1712,1711,#94C120
R38,2589,2111,#94C120
R38,2589,1134,#94C120
R38,937,2111,#94C120
R38,2035,1317,#94C120
R38,1324,1317,#94C120
R38,1324,2111,#94C120
R38,1584,2111,#94C120
R38,1712,1728,#94C120
R38,1584,937,#94C120
S1,1584,2820,#0058A2
S1,2820,2604,#0058A2
S1,1688,2604,#0058A2
S1,1688,2520,#0058A2
S1,2520,710,#0058A2
S1,710,2487,#0058A2
S1,1720,2487,#0058A2
S1,1720,1718,#0058A2
S1,3468,1718,#0058A2
S1,1723,3468,#0058A2
S1,1723,1719,#0058A2
S1,1714,1719,#0058A2
S1,1713,1714,#0058A2
S1,1713,1707,#0058A2
S1,5056,1707,#0058A2
S1,5056,5057,#0058A2
S1,5057,5058,#0058A2
S1,5058,5059,#0058A2
S1,5059,5060,#0058A2
S1,5060,5061,#0058A2
S1,5061,5062,#0058A2
S1,5062,5063,#0058A2
S1,5064,5063,#0058A2
S1,5064,5048,#0058A2
R18,1761,947,#94C120
R18,1754,947,#94C120
R18,1698,1754,#94C120
R18,1698,438,#94C120
R18,731,438,#94C120
R18,872,731,#94C120
R18,872,401,#94C120
R18,400,401,#94C120
R18,400,1158,#94C120
R18,1761,1930,#94C120
R18,1930,2612,#94C120
R18,2612,2982,#94C120
R18,2982,1550,#94C120
R18,2612,1119,#94C120
R18,2982,1119,#94C120
R18,1930,1550,#94C120
R18,400,872,#94C120
R18,872,1698,#94C120
R18,1761,1698,#94C120
R18,1761,1550,#94C120
R18,1761,2982,#94C120
R18,1930,2982,#94C120
RE_2,632,3016,#E40314
RE_2,3016,2920,#E40314
RE_2,2920,2147,#E40314
RE_2,1712,2147,#E40314
RE_2,1712,3099,#E40314
RE_2,3099,1715,#E40314
RE_2,1728,1712,#E40314
RE_2,3016,2147,#E40314
RE_2,3016,1712,#E40314
RE_2,2147,3061,#E40314
RE_2,1690,3061,#E40314
RE_2,1690,2910,#E40314
RE_2,2910,951,#E40314
RE_2,2920,951,#E40314
RE_2,2920,3594,#E40314
RE_2,3016,3594,#E40314
RE_2,3016,3595,#E40314
RE_2,3595,3596,#E40314
RE_2,632,3596,#E40314
S12,1688,2520,#0058A2
S12,2520,710,#0058A2
S12,710,2487,#0058A2
S12,1720,2487,#0058A2
S12,1720,1718,#0058A2
S12,3468,1718,#0058A2
S12,1723,3468,#0058A2
S12,1723,1719,#0058A2
S12,1714,1719,#0058A2
S12,1713,1714,#0058A2
S12,1713,1707,#0058A2
R23,1259,461,#94C120
R23,2713,1259,#94C120
R23,2713,3018,#94C120
R23,3018,2757,#94C120
R23,948,2757,#94C120
R23,1393,948,#94C120
R23,1393,766,#94C120
R23,3098,766,#94C120
R23,3098,1715,#94C120
R23,2033,766,#94C120
R23,2033,1715,#94C120
R8,2035,2894,#94C120
R8,1153,2894,#94C120
R8,1704,1153,#94C120
R8,1704,934,#94C120
R8,2513,934,#94C120
R8,2112,2513,#94C120
R8,1835,2603,#94C120
R8,1425,1835,#94C120
R8,1425,3038,#94C120
R8,813,3038,#94C120
R8,3114,813,#94C120
R8,3114,2335,#94C120
R8,2336,2335,#94C120
R8,2336,472,#94C120
R8,472,866,#94C120
R8,2112,866,#94C120
R8,1153,934,#94C120
R8,1005,1639,#94C120
R8,2112,1005,#94C120
R8,2035,934,#94C120
R8,2112,472,#94C120
R8,472,2335,#94C120
R8,1425,2335,#94C120
S50,85099,451,#0058A2
S50,451,1492,#0058A2
S50,2994,1492,#0058A2
S2,5088,5087,#0058A2
S2,5086,5087,#0058A2
S2,5046,5086,#0058A2
S2,5073,5046,#0058A2
S2,5072,5073,#0058A2
S2,5072,5071,#0058A2
S2,5070,5071,#0058A2
S2,5069,5070,#0058A2
S2,5409,5069,#0058A2
S2,5409,5066,#0058A2
S2,5065,5066,#0058A2
S2,5065,1707,#0058A2
S2,1713,1707,#0058A2
S2,1713,1714,#0058A2
S2,1714,1719,#0058A2
S2,1723,1719,#0058A2
S2,1723,3468,#0058A2
S2,3468,1718,#0058A2
S2,1720,1718,#0058A2
S8,905,453,#0058A2
S8,1841,453,#0058A2
S8,1841,2716,#0058A2
S8,2716,1711,#0058A2
S8,1715,1711,#0058A2
S8,1841,1711,#0058A2
S8,1841,905,#0058A2
S8,1550,1551,#0058A2
S8,807,1551,#0058A2
S8,388,807,#0058A2
S8,1937,388,#0058A2
S8,1937,1066,#0058A2
S8,1066,1964,#0058A2
S8,905,1964,#0058A2
S8,1728,1711,#0058A2
R36,2019,3014,#94C120
R36,2019,2391,#94C120
R36,1899,2391,#94C120
R36,1858,1899,#94C120
R36,1858,1402,#94C120
R36,1402,2934,#94C120
R36,2934,1407,#94C120
R36,1467,1407,#94C120
R36,1467,3095,#94C120
R36,1037,3095,#94C120
R36,1037,2046,#94C120
R31,1858,2036,#94C120
R31,2036,3053,#94C120
R31,3053,367,#94C120
R31,779,367,#94C120
R31,1721,779,#94C120
R31,1721,1716,#94C120
R31,1721,1187,#94C120
R31,1187,780,#94C120
R31,2923,780,#94C120
R31,1386,2923,#94C120
R31,1386,779,#94C120
R31,1721,367,#94C120
R31,1721,2923,#94C120
R31,779,2923,#94C120
R4,1728,1712,#94C120
R4,1712,2147,#94C120
R4,2147,2919,#94C120
R4,3048,2919,#94C120
R4,3048,1848,#94C120
R4,1848,2419,#94C120
R4,2419,799,#94C120
R4,1085,799,#94C120
R4,1085,2437,#94C120
R4,2437,1974,#94C120
R4,734,1974,#94C120
R4,2437,734,#94C120
R4,2419,1085,#94C120
R4,2419,2919,#94C120
R4,1712,2919,#94C120
R4,1712,1711,#94C120
R4,2419,2437,#94C120
R4,2716,1711,#94C120
R4,3025,1011,#94C120
R4,2099,1011,#94C120
R4,2099,1229,#94C120
R4,1586,1229,#94C120
R4,1586,2222,#94C120
R4,734,2222,#94C120
R4,1690,2147,#94C120
R4,1690,951,#94C120
R4,2919,951,#94C120
R4,2910,951,#94C120
R4,380,2910,#94C120
R4,1690,380,#94C120
R4,1690,3061,#94C120
R4,2147,3061,#94C120
S7,1715,1711,#0058A2
S7,2716,1711,#0058A2
S7,1841,2716,#0058A2
S7,1841,1842,#0058A2
S7,1842,3101,#0058A2
S7,768,3101,#0058A2
S7,768,642,#0058A2
S7,642,1604,#0058A2
S7,2930,1604,#0058A2
S7,2930,891,#0058A2
S7,3074,891,#0058A2
S7,3074,634,#0058A2
S7,2982,1550,#0058A2
S7,2982,1119,#0058A2
S7,2612,1119,#0058A2
S7,1930,2612,#0058A2
S7,1761,1930,#0058A2
S7,1761,1193,#0058A2
S7,1193,950,#0058A2
S7,2337,950,#0058A2
S7,2337,634,#0058A2
S7,1930,2982,#0058A2
S7,2612,2982,#0058A2
R5,1202,1940,#94C120
R5,2392,1940,#94C120
R5,2392,3022,#94C120
R5,1634,3022,#94C120
R5,576,1634,#94C120
R5,576,2603,#94C120
S5,2994,1413,#0058A2
S5,1029,1413,#0058A2
S5,1029,405,#0058A2
S5,405,1046,#0058A2
S5,1393,1046,#0058A2
S5,1393,766,#0058A2
S5,1554,766,#0058A2
S5,1554,858,#0058A2
S5,2033,858,#0058A2
S5,2033,2987,#0058A2
S5,2345,2987,#0058A2
S5,2345,3098,#0058A2
S5,3098,1708,#0058A2
S5,3099,1708,#0058A2
S5,1713,3099,#0058A2
S5,1713,1714,#0058A2
S5,1714,1719,#0058A2
S5,1723,1719,#0058A2
S5,1723,3468,#0058A2
S5,3468,1718,#0058A2
S5,3169,1718,#0058A2
S5,3169,3507,#0058A2
S5,2147,3507,#0058A2
S5,2147,3061,#0058A2
S5,1690,3061,#0058A2
S5,1690,380,#0058A2
S5,380,2910,#0058A2
S5,2910,951,#0058A2
S5,2919,951,#0058A2
R2,632,3596,#94C120
R2,3595,3596,#94C120
R2,3016,3595,#94C120
R2,3016,3594,#94C120
R2,2920,3594,#94C120
R2,2920,2919,#94C120
R13,365,1550,#94C120
R13,1632,365,#94C120
R13,1632,1934,#94C120
R13,1934,1575,#94C120
R13,1329,1575,#94C120
R13,1329,2993,#94C120
R13,2993,618,#94C120
R13,618,1228,#94C120
R13,1258,1228,#94C120
R13,1258,2151,#94C120
R13,1139,2151,#94C120
R13,1225,1139,#94C120
R13,1225,1189,#94C120
R13,1189,1846,#94C120
R13,2808,1846,#94C120
R13,2808,455,#94C120
R13,2573,455,#94C120
R13,2760,2573,#94C120
R13,1632,1575,#94C120
R13,2993,1575,#94C120
R13,2760,1025,#94C120
R13,1025,2573,#94C120
R13,1846,455,#94C120
R25,1858,406,#94C120
R25,698,406,#94C120
R25,3032,698,#94C120
R25,3032,1404,#94C120
R25,1404,1917,#94C120
R25,1936,1858,#94C120
R25,1936,2976,#94C120
R25,2976,2655,#94C120
R25,2889,2655,#94C120
R25,2889,2973,#94C120
R25,2973,2981,#94C120
R25,193,2981,#94C120
RE_6,3025,2099,#E40314
RE_6,2099,1229,#E40314
RE_6,1229,734,#E40314
RE_6,2437,734,#E40314
RE_6,2437,2919,#E40314
RE_6,2147,2919,#E40314
RE_6,1712,2147,#E40314
RE_6,1712,1728,#E40314
RE_6,1712,2919,#E40314
RE_6,734,2919,#E40314
RE_6,1085,734,#E40314
RE_6,2419,1085,#E40314
RE_6,2419,2919,#E40314
RE_6,1085,2437,#E40314
R37,937,1134,#94C120
R37,937,1969,#94C120
R37,1969,1949,#94C120
R37,1528,1949,#94C120
R37,1528,1093,#94C120
R37,1739,1093,#94C120
R37,2481,1739,#94C120
R37,2481,1188,#94C120
R37,1188,615,#94C120
R37,407,615,#94C120
R37,1863,407,#94C120
R37,2301,1863,#94C120
R37,2301,2046,#94C120
R37,1626,1134,#94C120
R37,1626,2164,#94C120
R37,2211,2164,#94C120
R37,2211,374,#94C120
R37,1040,374,#94C120
R37,1040,1202,#94C120
R12,2760,2195,#94C120
R12,2218,2195,#94C120
R12,2218,1100,#94C120
R12,2504,1100,#94C120
R12,2504,2916,#94C120
R12,641,2916,#94C120
R12,641,3071,#94C120
R12,2850,3071,#94C120
R12,2760,2218,#94C120
R12,2218,2916,#94C120
R12,2850,2916,#94C120
R12,641,2850,#94C120
R1,632,2697,#94C120
R1,2697,397,#94C120
R1,1808,397,#94C120
R1,1808,1099,#94C120
R1,1473,1099,#94C120
R1,1473,2015,#94C120
R1,2437,2015,#94C120
R1,2437,734,#94C120
R1,1974,734,#94C120
R1,2437,1974,#94C120
R1,1128,2437,#94C120
R1,1128,1151,#94C120
R1,2015,1151,#94C120
R1,1128,2015,#94C120
R1,1808,2697,#94C120
R1,1808,1473,#94C120
R35,3380,2046,#94C120
R35,2611,3380,#94C120
R35,2611,3134,#94C120
R35,2138,3134,#94C120
R35,2640,2138,#94C120
R35,2640,1311,#94C120
R35,1585,1311,#94C120
R35,1585,1682,#94C120
R35,2889,1682,#94C120
R35,2889,2973,#94C120
R35,2973,2981,#94C120
R35,193,2981,#94C120
R35,2611,1037,#94C120
R35,1037,2046,#94C120
R7,632,2223,#94C120
R7,424,2223,#94C120
R7,424,2235,#94C120
R7,2235,1111,#94C120
R7,807,1111,#94C120
R7,1550,807,#94C120
R7,1550,3015,#94C120
R7,807,3015,#94C120
R7,3025,2099,#94C120
R7,2099,1229,#94C120
R7,1229,734,#94C120
R7,2437,734,#94C120
R7,2437,2015,#94C120
R7,1473,2015,#94C120
R7,1808,1473,#94C120
R7,1808,632,#94C120
R7,424,1111,#94C120
RE_10,873,1158,#E40314
RE_10,2696,873,#E40314
RE_10,2696,1841,#E40314
RE_10,1728,1841,#E40314
RE_10,1158,1087,#E40314
RE_10,2696,1230,#E40314
RE_10,1841,1230,#E40314
RE_10,1841,1581,#E40314
RE_10,1581,1230,#E40314
RE_10,2696,1158,#E40314
S10,1158,1087,#0058A2
S10,400,1158,#0058A2
R34,746,2790,#94C120
R34,746,588,#94C120
R34,588,2143,#94C120
R34,736,2143,#94C120
R34,736,737,#94C120
R34,737,1039,#94C120
R34,2046,1039,#94C120
R34,1720,2046,#94C120
R34,1720,1712,#94C120
R34,1712,1711,#94C120
R34,457,2790,#94C120
R34,457,975,#94C120
R34,2651,975,#94C120
R34,2651,2435,#94C120
R34,2435,2564,#94C120
R34,2564,2111,#94C120
R34,975,2111,#94C120
R34,2716,1711,#94C120
R21,3098,1715,#94C120
R21,3098,1554,#94C120
R21,1393,1554,#94C120
R21,1393,635,#94C120
R21,635,1853,#94C120
R21,2833,1853,#94C120
R21,2833,2906,#94C120
R21,2906,636,#94C120
R21,636,2636,#94C120
R21,2636,1542,#94C120
R21,801,1542,#94C120
R21,801,2260,#94C120
R21,1593,2260,#94C120
R21,1393,3098,#94C120
R21,1554,858,#94C120
R21,858,1715,#94C120
R21,2260,1542,#94C120
R21,636,1542,#94C120
R21,2833,636,#94C120
R21,2833,1393,#94C120
R21,1393,2033,#94C120
R21,2033,3098,#94C120
R21,1393,766,#94C120
R21,3098,766,#94C120
RE_11,1728,1712,#E40314
RE_11,1712,1720,#E40314
RE_11,1720,1584,#E40314
RE_11,1584,1134,#E40314
RE_11,2211,1134,#E40314
RE_11,1202,2211,#E40314
RE_11,2112,1202,#E40314
RE_11,2112,1639,#E40314
RE_11,2112,725,#E40314
RE_11,1645,725,#E40314
RE_11,1005,1645,#E40314
RE_11,1005,1639,#E40314
RE_11,725,1005,#E40314
RE_11,1720,937,#E40314
RE_11,937,1134,#E40314
RE_11,2112,2881,#E40314
RE_11,2881,1415,#E40314
RE_11,3109,1415,#E40314
RE_11,1202,3109,#E40314
RE_11,1584,2686,#E40314
RE_11,937,2686,#E40314
RE_11,1626,1134,#E40314
RE_11,1626,2164,#E40314
RE_11,2211,2164,#E40314
RE_11,2164,1134,#E40314
RE_13,332,199,#E40314
RE_13,2228,332,#E40314
RE_13,3123,2228,#E40314
RE_13,3123,1596,#E40314
RE_13,1596,2046,#E40314
RE_13,1720,2046,#E40314
RE_13,1720,1712,#E40314
RE_13,1712,1708,#E40314
RE_13,1712,1728,#E40314
RE_13,1728,1720,#E40314
RE_13,3123,332,#E40314
RE_13,193,332,#E40314
RE_13,2046,1039,#E40314
RE_13,737,1039,#E40314
RE_13,737,1596,#E40314
RE_13,3123,2046,#E40314
RE_13,1720,1583,#E40314
RE_13,1749,1583,#E40314
RE_13,3092,1749,#E40314
RE_13,3092,1069,#E40314
RE_13,1069,2046,#E40314
RE_5,1393,2994,#E40314
RE_5,1393,766,#E40314
RE_5,1554,766,#E40314
RE_5,1554,3098,#E40314
RE_5,3098,1715,#E40314
RE_5,2994,1492,#E40314
RE_5,451,1492,#E40314
RE_5,451,654,#E40314
RE_5,2250,654,#E40314
RE_5,2994,1413,#E40314
RE_5,1029,1413,#E40314
RE_5,1029,405,#E40314
RE_5,405,1046,#E40314
RE_5,1393,1046,#E40314
RE_5,1393,1554,#E40314
RE_5,2033,1554,#E40314
RE_5,2033,2987,#E40314
RE_5,3098,2987,#E40314
RE_4,1728,3098,#E40314
RE_4,3098,766,#E40314
RE_4,1393,766,#E40314
RE_4,1393,2713,#E40314
RE_4,2713,461,#E40314
RE_4,2793,461,#E40314
RE_4,2793,3012,#E40314
RE_4,3012,1253,#E40314
RE_4,2290,1253,#E40314
RE_4,2290,3012,#E40314
R16,5053,5054,#94C120
R16,1707,5054,#94C120
R16,5065,1707,#94C120
R16,5065,5073,#94C120
R16,5073,5046,#94C120
R16,5086,5046,#94C120
R16,5086,5087,#94C120
R16,5088,5087,#94C120
R16,5088,5089,#94C120
R16,5089,5090,#94C120
R16,5090,5091,#94C120
R16,5091,5092,#94C120
R16,1698,5092,#94C120
R16,1698,5094,#94C120
R16,5094,5095,#94C120
R16,5096,5095,#94C120
R16,5096,5097,#94C120
R16,5097,5098,#94C120
R40,1202,3109,#94C120
R40,3109,1415,#94C120
R40,2881,1415,#94C120
R40,2112,2881,#94C120
R40,2112,725,#94C120
R40,1645,725,#94C120
R40,2557,1645,#94C120
R40,2557,1973,#94C120
R40,1005,1973,#94C120
R40,1005,1639,#94C120
R32,1721,1716,#94C120
R32,1721,779,#94C120
R32,779,367,#94C120
R32,3053,367,#94C120
R32,2036,3053,#94C120
R32,1858,2036,#94C120
R32,1936,1858,#94C120
R32,1936,2976,#94C120
R32,2976,2655,#94C120
R32,2889,2655,#94C120
R32,2889,2973,#94C120
R32,2973,2981,#94C120
R32,193,2981,#94C120
R32,779,1716,#94C120
R32,1858,3053,#94C120
R32,1858,2973,#94C120
R32,193,2973,#94C120
R32,2973,2655,#94C120
R32,1721,367,#94C120
R41,2564,2111,#94C120
R41,2435,2564,#94C120
R41,2651,2435,#94C120
R41,2651,975,#94C120
R41,457,975,#94C120
R41,457,2790,#94C120
R41,746,2790,#94C120
R41,746,2518,#94C120
R41,964,2518,#94C120
R41,3123,964,#94C120
R39,1626,1134,#94C120
R39,1626,2164,#94C120
R39,2211,2164,#94C120
R39,2211,374,#94C120
R39,1040,374,#94C120
R39,1040,1202,#94C120
R39,1202,374,#94C120
R39,1626,2211,#94C120
